Location,Restaurant Name,Lat,Lng,Review
Toronto Downtown,Evergreen Thai Restaurant,43.65510240054062,-79.3861992,5
Toronto Downtown,Evergreen Thai Restaurant,43.65510240054062,-79.3861992,3
Toronto Downtown,Evergreen Thai Restaurant,43.65510240054062,-79.3861992,5
Toronto Downtown,Evergreen Thai Restaurant,43.65510240054062,-79.3861992,3
Toronto Downtown,Evergreen Thai Restaurant,43.65510240054062,-79.3861992,3
Toronto Downtown,Hong Shing Chinese Restaurant,43.65493670054062,-79.38693239999999,5
Toronto Downtown,Hong Shing Chinese Restaurant,43.65493670054062,-79.38693239999999,5
Toronto Downtown,Hong Shing Chinese Restaurant,43.65493670054062,-79.38693239999999,1
Toronto Downtown,Hong Shing Chinese Restaurant,43.65493670054062,-79.38693239999999,2
Toronto Downtown,Hong Shing Chinese Restaurant,43.65493670054062,-79.38693239999999,1
Toronto Downtown,Hemispheres Restaurant Bistro,43.65485630054062,-79.386186,5
Toronto Downtown,Hemispheres Restaurant Bistro,43.65485630054062,-79.386186,3
Toronto Downtown,Hemispheres Restaurant Bistro,43.65485630054062,-79.386186,4
Toronto Downtown,Hemispheres Restaurant Bistro,43.65485630054062,-79.386186,3
Toronto Downtown,Hemispheres Restaurant Bistro,43.65485630054062,-79.386186,5
Toronto Downtown,Yueh Tung Restaurant,43.65523000054063,-79.38525800000001,4
Toronto Downtown,Yueh Tung Restaurant,43.65523000054063,-79.38525800000001,5
Toronto Downtown,Yueh Tung Restaurant,43.65523000054063,-79.38525800000001,5
Toronto Downtown,Yueh Tung Restaurant,43.65523000054063,-79.38525800000001,5
Toronto Downtown,Yueh Tung Restaurant,43.65523000054063,-79.38525800000001,4
Toronto Downtown,Bapbo Korean Cuisine,43.655609200540624,-79.3848723,5
Toronto Downtown,Bapbo Korean Cuisine,43.655609200540624,-79.3848723,4
Toronto Downtown,Bapbo Korean Cuisine,43.655609200540624,-79.3848723,5
Toronto Downtown,Bapbo Korean Cuisine,43.655609200540624,-79.3848723,4
Toronto Downtown,Bapbo Korean Cuisine,43.655609200540624,-79.3848723,3
Toronto Downtown,Don Don Izakaya,43.65576360054062,-79.38459459999999,1
Toronto Downtown,Don Don Izakaya,43.65576360054062,-79.38459459999999,5
Toronto Downtown,Don Don Izakaya,43.65576360054062,-79.38459459999999,3
Toronto Downtown,Don Don Izakaya,43.65576360054062,-79.38459459999999,4
Toronto Downtown,Don Don Izakaya,43.65576360054062,-79.38459459999999,3
Toronto Downtown,You Don Ya,43.65575850054061,-79.3842405,2
Toronto Downtown,You Don Ya,43.65575850054061,-79.3842405,5
Toronto Downtown,You Don Ya,43.65575850054061,-79.3842405,5
Toronto Downtown,You Don Ya,43.65575850054061,-79.3842405,2
Toronto Downtown,KAKA All You Can Eat,43.65751760054061,-79.384124,2
Toronto Downtown,KAKA All You Can Eat,43.65751760054061,-79.384124,5
Toronto Downtown,KAKA All You Can Eat,43.65751760054061,-79.384124,5
Toronto Downtown,KAKA All You Can Eat,43.65751760054061,-79.384124,5
Toronto Downtown,KAKA All You Can Eat,43.65751760054061,-79.384124,5
Toronto Downtown,Konjiki Ramen (Downtown),43.65733260054059,-79.3836135,5
Toronto Downtown,Konjiki Ramen (Downtown),43.65733260054059,-79.3836135,5
Toronto Downtown,Konjiki Ramen (Downtown),43.65733260054059,-79.3836135,4
Toronto Downtown,Konjiki Ramen (Downtown),43.65733260054059,-79.3836135,4
Toronto Downtown,Konjiki Ramen (Downtown),43.65733260054059,-79.3836135,4
Toronto Downtown,Donatello,43.65735780054059,-79.3834704,1
Toronto Downtown,Donatello,43.65735780054059,-79.3834704,5
Toronto Downtown,Donatello,43.65735780054059,-79.3834704,5
Toronto Downtown,Donatello,43.65735780054059,-79.3834704,5
Toronto Downtown,Donatello,43.65735780054059,-79.3834704,5
Toronto Downtown,Adega,43.6574041005406,-79.383275,1
Toronto Downtown,Adega,43.6574041005406,-79.383275,2
Toronto Downtown,Adega,43.6574041005406,-79.383275,4
Toronto Downtown,Adega,43.6574041005406,-79.383275,5
Toronto Downtown,Adega,43.6574041005406,-79.383275,3
Toronto King West,Azure Restaurant & Bar,43.64443400054075,-79.38539,5
Toronto King West,Azure Restaurant & Bar,43.64443400054075,-79.38539,5
Toronto King West,Azure Restaurant & Bar,43.64443400054075,-79.38539,5
Toronto King West,Azure Restaurant & Bar,43.64443400054075,-79.38539,2
Toronto King West,Azure Restaurant & Bar,43.64443400054075,-79.38539,5
Toronto King West,SOCO Kitchen + Bar,43.64267910054078,-79.3838454,5
Toronto King West,SOCO Kitchen + Bar,43.64267910054078,-79.3838454,4
Toronto King West,SOCO Kitchen + Bar,43.64267910054078,-79.3838454,4
Toronto King West,SOCO Kitchen + Bar,43.64267910054078,-79.3838454,5
Toronto King West,SOCO Kitchen + Bar,43.64267910054078,-79.3838454,4
Toronto King West,Aroma Fine Indian Cuisine,43.646237800540725,-79.3897669,5
Toronto King West,Aroma Fine Indian Cuisine,43.646237800540725,-79.3897669,5
Toronto King West,Aroma Fine Indian Cuisine,43.646237800540725,-79.3897669,4
Toronto King West,Aroma Fine Indian Cuisine,43.646237800540725,-79.3897669,4
Toronto King West,Aroma Fine Indian Cuisine,43.646237800540725,-79.3897669,2
Toronto King West,e11even,43.64278510054077,-79.3811224,1
Toronto King West,e11even,43.64278510054077,-79.3811224,5
Toronto King West,e11even,43.64278510054077,-79.3811224,5
Toronto King West,e11even,43.64278510054077,-79.3811224,5
Toronto King West,e11even,43.64278510054077,-79.3811224,3
Toronto King West,Pancho y Emiliano,43.64639690054072,-79.3899333,4
Toronto King West,Pancho y Emiliano,43.64639690054072,-79.3899333,5
Toronto King West,Pancho y Emiliano,43.64639690054072,-79.3899333,1
Toronto King West,Pancho y Emiliano,43.64639690054072,-79.3899333,4
Toronto King West,Pancho y Emiliano,43.64639690054072,-79.3899333,5
Toronto King West,Hey Lucy's Wood Oven Pizza,43.64638310054073,-79.3900915,4
Toronto King West,Hey Lucy's Wood Oven Pizza,43.64638310054073,-79.3900915,5
Toronto King West,Hey Lucy's Wood Oven Pizza,43.64638310054073,-79.3900915,5
Toronto King West,Hey Lucy's Wood Oven Pizza,43.64638310054073,-79.3900915,1
Toronto King West,Hey Lucy's Wood Oven Pizza,43.64638310054073,-79.3900915,4
Toronto King West,Gabby's,43.646314700540735,-79.3904398,5
Toronto King West,Gabby's,43.646314700540735,-79.3904398,5
Toronto King West,Gabby's,43.646314700540735,-79.3904398,5
Toronto King West,Gabby's,43.646314700540735,-79.3904398,5
Toronto King West,Gabby's,43.646314700540735,-79.3904398,5
Toronto Queen West,Pat's Homestyle Jamaican Restaurant,43.647486200540726,-79.4031939,3
Toronto Queen West,Pat's Homestyle Jamaican Restaurant,43.647486200540726,-79.4031939,1
Toronto Queen West,Pat's Homestyle Jamaican Restaurant,43.647486200540726,-79.4031939,1
Toronto Queen West,Pat's Homestyle Jamaican Restaurant,43.647486200540726,-79.4031939,4
Toronto Queen West,Pat's Homestyle Jamaican Restaurant,43.647486200540726,-79.4031939,4
Toronto Queen West,Roti Mahal,43.64750540054073,-79.4030911,5
Toronto Queen West,Roti Mahal,43.64750540054073,-79.4030911,5
Toronto Queen West,Kenzo Ramen,43.64694050054073,-79.40469859999999,4
Toronto Queen West,Kenzo Ramen,43.64694050054073,-79.40469859999999,5
Toronto Queen West,Kenzo Ramen,43.64694050054073,-79.40469859999999,4
Toronto Queen West,Kenzo Ramen,43.64694050054073,-79.40469859999999,5
Toronto Queen West,Kenzo Ramen,43.64694050054073,-79.40469859999999,3
Toronto Queen West,The Dime on Queen,43.647590800540726,-79.4026344,4
Toronto Queen West,The Dime on Queen,43.647590800540726,-79.4026344,3
Toronto Queen West,The Dime on Queen,43.647590800540726,-79.4026344,5
Toronto Queen West,The Dime on Queen,43.647590800540726,-79.4026344,4
Toronto Queen West,The Dime on Queen,43.647590800540726,-79.4026344,4
Toronto Queen West,Osteria Du,43.64760570054072,-79.4025347,3
Toronto Queen West,Osteria Du,43.64760570054072,-79.4025347,5
Toronto Queen West,Osteria Du,43.64760570054072,-79.4025347,5
Toronto Queen West,Bar Altura,43.64769170054073,-79.4009601,5
Toronto Queen West,Bar Altura,43.64769170054073,-79.4009601,5
Toronto Queen West,Bar Altura,43.64769170054073,-79.4009601,5
Toronto Queen West,Bar Altura,43.64769170054073,-79.4009601,5
Toronto Queen West,Bar Altura,43.64769170054073,-79.4009601,5
Toronto Queen West,Beast Restaurant,43.64408780054076,-79.40564699999999,5
Toronto Queen West,Beast Restaurant,43.64408780054076,-79.40564699999999,5
Toronto Queen West,Beast Restaurant,43.64408780054076,-79.40564699999999,4
Toronto Queen West,Beast Restaurant,43.64408780054076,-79.40564699999999,1
Toronto Queen West,Beast Restaurant,43.64408780054076,-79.40564699999999,5
Toronto Queen West,Banu,43.64625950054074,-79.40808049999998,5
Toronto Queen West,Banu,43.64625950054074,-79.40808049999998,5
Toronto Queen West,Banu,43.64625950054074,-79.40808049999998,5
Toronto Queen West,Banu,43.64625950054074,-79.40808049999998,5
Toronto Queen West,Banu,43.64625950054074,-79.40808049999998,5
Toronto Queen West,Coco Rice,43.64371720054076,-79.40296639999998,1
Toronto Queen West,Coco Rice,43.64371720054076,-79.40296639999998,2
Toronto Queen West,Coco Rice,43.64371720054076,-79.40296639999998,3
Toronto Queen West,Coco Rice,43.64371720054076,-79.40296639999998,3
Toronto Queen West,Coco Rice,43.64371720054076,-79.40296639999998,4
Toronto Queen West,Oretta,43.64393280054076,-79.4017977,1
Toronto Queen West,Oretta,43.64393280054076,-79.4017977,2
Toronto Queen West,Oretta,43.64393280054076,-79.4017977,1
Toronto Queen West,Oretta,43.64393280054076,-79.4017977,5
Toronto Queen West,Oretta,43.64393280054076,-79.4017977,1
Toronto Queen West,Lavelle,43.64400940054076,-79.40148339999999,5
Toronto Queen West,Lavelle,43.64400940054076,-79.40148339999999,1
Toronto Queen West,Lavelle,43.64400940054076,-79.40148339999999,3
Toronto Queen West,Lavelle,43.64400940054076,-79.40148339999999,1
Toronto Queen West,Lavelle,43.64400940054076,-79.40148339999999,5
Toronto Queen West,WVRST,43.64422550054076,-79.4005946,4
Toronto Queen West,WVRST,43.64422550054076,-79.4005946,5
Toronto Queen West,WVRST,43.64422550054076,-79.4005946,5
Toronto Queen West,WVRST,43.64422550054076,-79.4005946,3
Toronto Queen West,WVRST,43.64422550054076,-79.4005946,2
Toronto College West,Café Diplomatico,43.65536900054062,-79.4137306,4
Toronto College West,Café Diplomatico,43.65536900054062,-79.4137306,2
Toronto College West,Café Diplomatico,43.65536900054062,-79.4137306,5
Toronto College West,Café Diplomatico,43.65536900054062,-79.4137306,4
Toronto College West,Café Diplomatico,43.65536900054062,-79.4137306,5
Toronto College West,Hapa Izakaya,43.65525500054061,-79.4142636,5
Toronto College West,Hapa Izakaya,43.65525500054061,-79.4142636,5
Toronto College West,Hapa Izakaya,43.65525500054061,-79.4142636,5
Toronto College West,Hapa Izakaya,43.65525500054061,-79.4142636,5
Toronto College West,Hapa Izakaya,43.65525500054061,-79.4142636,5
Toronto College West,Duff's Famous Wings,43.655711200540615,-79.41220669999998,5
Toronto College West,Duff's Famous Wings,43.655711200540615,-79.41220669999998,4
Toronto College West,Duff's Famous Wings,43.655711200540615,-79.41220669999998,1
Toronto College West,Duff's Famous Wings,43.655711200540615,-79.41220669999998,4
Toronto College West,Duff's Famous Wings,43.655711200540615,-79.41220669999998,5
Toronto College West,Kasai Grill House,43.65515610054063,-79.4161357,5
Toronto College West,Kasai Grill House,43.65515610054063,-79.4161357,1
Toronto College West,Kasai Grill House,43.65515610054063,-79.4161357,5
Toronto College West,Kasai Grill House,43.65515610054063,-79.4161357,3
Toronto College West,Kasai Grill House,43.65515610054063,-79.4161357,2
Toronto College West,Come See Me,43.65518890054061,-79.41631679999999,5
Toronto College West,Come See Me,43.65518890054061,-79.41631679999999,5
Toronto College West,Vivoli,43.65490990054063,-79.41646129999998,5
Toronto College West,Vivoli,43.65490990054063,-79.41646129999998,3
Toronto College West,Vivoli,43.65490990054063,-79.41646129999998,1
Toronto College West,Vivoli,43.65490990054063,-79.41646129999998,4
Toronto College West,Vivoli,43.65490990054063,-79.41646129999998,5
Toronto College West,Harry's Charbroiled,43.655674200540616,-79.4098907,5
Toronto College West,La Carnita,43.65587270054062,-79.4097339,5
Toronto College West,La Carnita,43.65587270054062,-79.4097339,5
Toronto College West,La Carnita,43.65587270054062,-79.4097339,5
Toronto College West,La Carnita,43.65587270054062,-79.4097339,1
Toronto College West,La Carnita,43.65587270054062,-79.4097339,5
Toronto College West,Rhum Corner,43.65095730054068,-79.41318539999999,5
Toronto College West,Rhum Corner,43.65095730054068,-79.41318539999999,1
Toronto College West,Rhum Corner,43.65095730054068,-79.41318539999999,1
Toronto College West,Rhum Corner,43.65095730054068,-79.41318539999999,1
Toronto College West,Rhum Corner,43.65095730054068,-79.41318539999999,5
Toronto Yorkville,The Oxley,43.67053573992822,-79.39295086291513,3
Toronto Yorkville,The Oxley,43.67053573992822,-79.39295086291513,2
Toronto Yorkville,The Oxley,43.67053573992822,-79.39295086291513,5
Toronto Yorkville,The Oxley,43.67053573992822,-79.39295086291513,2
Toronto Yorkville,The Oxley,43.67053573992822,-79.39295086291513,5
Toronto Yorkville,Kasamoto,43.670619546092304,-79.39277152980416,5
Toronto Yorkville,Kasamoto,43.670619546092304,-79.39277152980416,1
Toronto Yorkville,Kasamoto,43.670619546092304,-79.39277152980416,1
Toronto Yorkville,Kasamoto,43.670619546092304,-79.39277152980416,2
Toronto Yorkville,Kasamoto,43.670619546092304,-79.39277152980416,1
Toronto Yorkville,Chabrol,43.6712821005404,-79.3920785,5
Toronto Yorkville,Chabrol,43.6712821005404,-79.3920785,3
Toronto Yorkville,Chabrol,43.6712821005404,-79.3920785,4
Toronto Yorkville,Chabrol,43.6712821005404,-79.3920785,3
Toronto Yorkville,Chabrol,43.6712821005404,-79.3920785,4
Toronto Yorkville,Trattoria Nervosa,43.67105340054041,-79.3910963,4
Toronto Yorkville,Trattoria Nervosa,43.67105340054041,-79.3910963,5
Toronto Yorkville,Trattoria Nervosa,43.67105340054041,-79.3910963,5
Toronto Yorkville,Trattoria Nervosa,43.67105340054041,-79.3910963,1
Toronto Yorkville,Trattoria Nervosa,43.67105340054041,-79.3910963,4
Toronto Yorkville,Dynasty Chinese Cuisine,43.67109900054041,-79.39101479999998,3
