Restaurant ID,Location,Restaurant Name,Postal Code,Restaurant Address,Lat,Lng,Location ID
186,Queen West,The Dime on Queen,M5V 2B5,"538 Queen Street West, Old Toronto, ON M5V 2B5, Canada",43.647590800540726,-79.4026344,12448359
188,Queen West,Osteria Du,M5V 2B5,"536 Queen Street West, Old Toronto, ON M5V 2B5, Canada",43.64760570054072,-79.4025347,24857935
189,Queen West,Zakkushi,M6J 1E4,"620 Queen Street West, Old Toronto, ON M6J 1E4, Canada",43.647015800540736,-79.40548289999998,19126158
196,Queen West,Bar Altura,M5V 2B6,"571 Queen Street West, Old Toronto, ON M5V 2B6, Canada",43.64769170054073,-79.4009601,15088433
212,Queen West,Beast Restaurant,M6J 2H1,"96 Tecumseth Street, Old Toronto, ON M6J 2H1, Canada",43.64408780054076,-79.40564699999999,1884043
213,Queen West,Banu,M6J 1G1,"777 Queen Street West, Old Toronto, ON M6J 1G1, Canada",43.64625950054074,-79.40808049999998,782772
215,Queen West,Coco Rice,M5V 1M9,"669 King Street West, Old Toronto, ON M5V 1M9, Canada",43.64371720054076,-79.40296639999998,803573
216,Queen West,Oretta,M5V 1M5,"633 King Street West, Old Toronto, ON M5V 1M5, Canada",43.64393280054076,-79.4017977,11995390
218,Queen West,Lavelle,M5V 1M5,"627 King Street West, Old Toronto, ON M5V 1M5, Canada",43.64400940054076,-79.40148339999999,10693285
221,Queen West,My Meatball Place,M5V 1M5,"617 King Street West, Old Toronto, ON M5V 1M5, Canada",43.644109000540766,-79.4009627,19660935
224,Queen West,WVRST,M5V 1M5,"609 King Street West, Old Toronto, ON M5V 1M5, Canada",43.64422550054076,-79.4005946,2339362
231,Toronto College West,Café Diplomatico,M6G 1B3,"594 College Street, Old Toronto, ON M6G 1B3, Canada",43.65536900054062,-79.4137306,683135
235,Toronto College West,Hapa Izakaya,M6G 1B4,"602 College Street, Old Toronto, ON M6G 1B4, Canada",43.65525500054061,-79.4142636,3506716
245,Toronto College West,Duff's Famous Wings,M6G 1B1,"558 College Street, Old Toronto, ON M6G 1B1, Canada",43.655711200540615,-79.41220669999998,1510697
247,Toronto College West,Kasai Grill House,M6G 1B8,"650 College Street, Old Toronto, ON M6G 1B8, Canada",43.65515610054063,-79.4161357,8819133
252,Toronto College West,Come See Me,M6G 1B8,"656 College Street, Old Toronto, ON M6G 1B8, Canada",43.65518890054061,-79.41631679999999,19078909
254,Toronto College West,Vivoli,M6G 1B7,"665 College Street, Old Toronto, ON M6G 1B7, Canada",43.65490990054063,-79.41646129999998,967005
256,Toronto College West,Harry's Charbroiled,M6J 2J3,"293 Palmerston Avenue, Old Toronto, ON M6J 2J3, Canada",43.655674200540616,-79.4098907,23709543
258,Toronto College West,La Carnita,M6G 1A5,"501 College Street, Old Toronto, ON M6G 1A5, Canada",43.65587270054062,-79.4097339,3248644
261,Toronto College West,Rhum Corner,M6J 1W3,"926 Dundas Street West, Old Toronto, ON M6J 1W3, Canada",43.65095730054068,-79.41318539999999,7393569
276,Toronto College West,Istanbul Shawarma,M5T 1T3,"430 College Street, Old Toronto, ON M5T 1T3, Canada",43.6567382005406,-79.40719259999999,19660879
277,Toronto Yorkville,The Oxley,M5R 1C4,"121 Yorkville Avenue, Old Toronto, ON M5R 1C4, Canada",43.67053573992822,-79.39295086291513,3389131
279,Toronto Yorkville,Kasamoto,M5R 1C1,"115 Yorkville Avenue, Old Toronto, ON M5R 1C1, Canada",43.670619546092304,-79.39277152980416,8146083
284,Toronto Yorkville,Chabrol,M5R 1B9,"90 Yorkville Avenue, Old Toronto, ON M5R 1B9, Canada",43.6712821005404,-79.3920785,9561649
290,Toronto Yorkville,Trattoria Nervosa,M5R 1B8,"Bellair Street, Old Toronto, ON M5R 1B8, Canada",43.67105340054041,-79.3910963,683167
292,Toronto Yorkville,Dynasty Chinese Cuisine,M5R 1B8,"Yorkville Avenue, Old Toronto, ON M5R 1B8, Canada",43.67109900054041,-79.39101479999998,684284
294,Toronto Yorkville,Dynasty Chinese Cuisine  (Last Straw Distillery),M5R 1B8,"69 Yorkville Avenue, Old Toronto, ON M5R 1B8, Canada",43.67104900054041,-79.39083199999999,684284
300,Toronto Yorkville,Freshii,M5R 2B1,"Cumberland Street, Old Toronto, ON M5R 2B1, Canada",43.67062000054043,-79.390095,4853486
309,Toronto Yorkville,Eataly Toronto,M4W 1A6,"55 Bloor Street West, Old Toronto, ON M4W 1A6, Canada",43.66967140054042,-79.3887524,23770948
313,Toronto Yorkville,Druxy's ROM Cafe,M5S 2C6,"100 Queen's Park, Old Toronto, ON M5S 2C6, Canada",43.66754470054045,-79.394906,8852992
332,Toronto Airport,Lee Kitchen,L5P 1B2,"Terminal 1 Departures, Mississauga, ON L5P 1B2, Canada",43.676705900540334,-79.61250599999998,10041709
340,Ottawa City Centre,Bier Markt,K1P 5C1,"156 Sparks Street, (Old) Ottawa, ON K1P 5C1, Canada",45.42171750042253,-75.69969799999998,7260636
342,Ottawa City Centre,Mulligans Golf Bar,K1P 5C9,"201 Queen Street, (Old) Ottawa, ON K1P 5C9, Canada",45.42085490042264,-75.7004001,10257847
350,Ottawa City Centre,Edoko Japanese Steak House,K1P 5C6,"64 Queen Street, (Old) Ottawa, ON K1P 5C6, Canada",45.422519600422426,-75.69585659999998,704034
355,Ottawa City Centre,C’est Japon À Suisha,K1P 5H8,"208 Slater Street, (Old) Ottawa, ON K1P 5H8, Canada",45.41943920042278,-75.6991906,689713
361,Ottawa City Centre,Sansotei Ramen,K1P 5N7,"153 Bank Street, (Old) Ottawa, ON K1P 5N7, Canada",45.41893780042287,-75.69922289999998,10316696
364,Ottawa City Centre,Mad Radish,K1P 5H9,"275 Slater Street, (Old) Ottawa, ON K1P 5H9, Canada",45.41874250042288,-75.7018907,17643925
399,Niagara Falls,Young Garden Authentic Korean Cuisine,L2G 3Y3,"Stanley Avenue, Niagara Falls, ON L2G 3Y3, Canada",43.08684500053848,-79.08503195,4242572
405,Niagara Falls,AlMac's Buffet,L2G 1S2,"5435 Ferry Street, Niagara Falls, ON L2G 1S2, Canada",43.08977520053856,-79.0843294,1110107
415,Niagara Falls,Shoeless Joe's,L2G 7X5,"6380 Fallsview Boulevard, Niagara Falls, ON L2G 7X5, Canada",43.083297300538405,-79.082415,1210089
418,Niagara Falls,Brasa Brazilian Steakhouse,L2G 3V9,"6361 Fallsview Boulevard, Niagara Falls, ON L2G 3V9, Canada",43.083231300538415,-79.08332759999999,1546799
419,Niagara Falls,Antica Pizzeria & Ristorante,L2G 3L6,"5785 Victoria Avenue, Niagara Falls, ON L2G 3L6, Canada",43.09152780053859,-79.07739,767950
420,Niagara Falls,Falls Deli,L2G 7X5,"6380 Fallsview Boulevard, Niagara Falls, ON L2G 7X5, Canada",43.08284470053841,-79.0796113,11681114
422,Niagara Falls,Brasa,L2G 3V9,"6361 Fallsview Boulevard, Niagara Falls, ON L2G 3V9, Canada",43.08245260053841,-79.08307689999998,1546799
425,Niagara Falls,Spicy Olive Bar + Grille,L2G 3N7,"Centre Street, Niagara Falls, ON L2G 3N7, Canada",43.0923529005386,-79.07695219999998,5921041
428,Niagara Falls,Boston Pizza,L2G 3N4,"4950 Clifton Hill, Niagara Falls, ON L2G 3N4, Canada",43.09108790053857,-79.0748048,519035
