Date,Total Number of Passengers Screened,,,,,,,,,
,Eight Largest Airports (note 1),,,,,Seventeen Largest Airports (note 2),,,,
2023-10-04,"156,727.00","127,566.00","69,306.00","19,688.00","152,662.00","176,757.00","142,223.00","77,665.00","22,026.00","170,247.00"
2023-10-05,"170,610.00","145,319.00","80,612.00","24,417.00","169,215.00","193,081.00","161,930.00","90,711.00","28,084.00","190,072.00"
2023-10-06,"179,579.00","161,276.00","88,967.00","29,911.00","179,106.00","203,182.00","178,912.00","100,896.00","34,152.00","202,092.00"
2023-10-07,"153,316.00","132,486.00","71,159.00","20,094.00","149,571.00","169,348.00","146,314.00","78,661.00","22,337.00","164,451.00"
2023-10-08,"149,724.00","130,985.00","63,133.00","18,152.00","138,494.00","167,285.00","143,766.00","71,667.00","20,221.00","151,369.00"
2023-10-09,"164,648.00","144,715.00","82,331.00","26,415.00","163,016.00","186,741.00","162,836.00","94,238.00","31,400.00","184,303.00"
2023-10-10,"151,459.00","130,997.00","70,115.00","20,428.00","156,546.00","171,695.00","147,243.00","78,658.00","23,885.00","175,536.00"
2023-10-11,"148,416.00","124,309.00","66,659.00","21,028.00","151,007.00","166,234.00","138,458.00","74,532.00","23,596.00","168,224.00"
2023-10-12,"152,665.00","131,434.00","72,731.00","21,190.00","153,130.00","171,113.00","146,168.00","81,074.00","23,964.00","171,659.00"
2023-10-13,"156,826.00","141,647.00","77,033.00","24,213.00","162,908.00","176,137.00","157,301.00","85,900.00","27,198.00","181,330.00"
2023-10-14,"139,804.00","125,376.00","66,872.00","17,643.00","141,187.00","153,762.00","137,505.00","73,638.00","19,639.00","153,916.00"
2023-10-15,"162,048.00","146,451.00","80,081.00","24,204.00","155,332.00","182,245.00","162,679.00","90,150.00","27,654.00","173,328.00"
2023-10-16,"155,480.00","134,214.00","71,527.00","20,380.00","148,244.00","174,682.00","149,449.00","79,682.00","23,310.00","165,953.00"
2023-10-17,"135,811.00","112,451.00","52,902.00","3,323.00","132,753.00","151,186.00","125,003.00","58,948.00","3,957.00","148,525.00"
2023-10-18,"143,860.00","119,280.00","61,959.00","16,164.00","142,659.00","160,598.00","132,383.00","69,226.00","18,288.00","159,070.00"
2023-10-19,"155,448.00","136,558.00","72,292.00","19,298.00","151,290.00","174,772.00","152,357.00","80,980.00","21,871.00","170,666.00"
2023-10-20,"159,918.00","145,191.00","78,264.00","23,567.00","156,310.00","180,176.00","161,439.00","87,851.00","26,266.00","175,770.00"
2023-10-21,"135,887.00","123,447.00","66,244.00","17,628.00","126,337.00","149,307.00","135,094.00","72,533.00","19,788.00","139,259.00"
2023-10-22,"157,453.00","144,088.00","77,913.00","21,928.00","148,098.00","176,535.00","159,523.00","87,656.00","25,067.00","165,718.00"
2023-10-23,"150,579.00","129,315.00","70,029.00","19,345.00","137,119.00","169,299.00","144,266.00","78,085.00","22,033.00","154,260.00"
2023-10-24,"133,282.00","109,512.00","52,500.00","13,669.00","123,114.00","147,897.00","121,405.00","58,774.00","15,778.00","137,479.00"
2023-10-25,"141,829.00","113,699.00","61,201.00","18,686.00","129,593.00","157,411.00","125,986.00","68,540.00","20,847.00","144,970.00"
2023-10-26,"148,300.00","126,528.00","69,724.00","19,088.00","127,739.00","165,620.00","140,780.00","77,686.00","21,629.00","142,035.00"
2023-10-27,"152,176.00","136,043.00","75,361.00","23,144.00","147,621.00","172,253.00","151,115.00","84,306.00","26,076.00","164,001.00"
2023-10-28,"128,670.00","111,137.00","61,913.00","18,060.00","130,619.00","141,955.00","121,921.00","68,067.00","19,662.00","143,435.00"
2023-10-29,"142,581.00","129,222.00","69,667.00","24,753.00","147,782.00","158,810.00","142,736.00","77,235.00","27,746.00","163,894.00"
2023-10-30,"131,849.00","114,428.00","70,213.00","21,799.00","139,790.00","146,036.00","126,960.00","77,621.00","24,586.00","155,307.00"
2023-10-31,"111,772.00","113,302.00","54,992.00","14,645.00","128,945.00","123,139.00","124,749.00","60,539.00","16,488.00","144,351.00"
2023-11-01,"132,244.00","113,341.00","58,029.00","18,054.00","141,714.00","146,858.00","124,666.00","64,272.00","20,102.00","157,725.00"
2023-11-02,"140,790.00","132,865.00","70,560.00","20,556.00","154,338.00","156,733.00","146,129.00","78,385.00","23,283.00","173,206.00"
2023-11-03,"147,080.00","146,246.00","80,862.00","24,890.00","166,040.00","164,229.00","162,419.00","89,507.00","27,933.00","186,212.00"
2023-11-04,"131,828.00","126,088.00","70,734.00","20,198.00","139,343.00","144,482.00","138,275.00","77,461.00","22,260.00","153,673.00"
2023-11-05,"151,412.00","142,525.00","80,458.00","22,876.00","147,118.00","167,516.00","156,358.00","89,243.00","25,673.00","162,859.00"
2023-11-06,"142,535.00","137,144.00","73,841.00","19,257.00","143,271.00","158,337.00","151,588.00","81,756.00","21,944.00","160,592.00"
2023-11-07,"130,437.00","118,799.00","60,737.00","16,049.00","138,170.00","144,109.00","132,425.00","67,088.00","18,175.00","154,388.00"
2023-11-08,"139,178.00","123,504.00","70,502.00","19,252.00","133,532.00","153,764.00","137,473.00","78,733.00","22,081.00","148,658.00"
2023-11-09,"153,396.00","141,114.00","80,597.00","18,253.00","143,360.00","170,839.00","157,635.00","89,916.00","20,551.00","161,116.00"
2023-11-10,"158,040.00","143,282.00","74,997.00","20,118.00","150,659.00","176,634.00","159,034.00","83,290.00","22,341.00","168,570.00"
2023-11-11,"138,363.00","123,222.00","66,225.00","21,109.00","129,587.00","152,325.00","135,262.00","72,705.00","23,123.00","142,327.00"
2023-11-12,"146,912.00","144,935.00","85,635.00","24,735.00","147,719.00","162,623.00","161,853.00","95,828.00","28,473.00","163,783.00"
2023-11-13,"144,347.00","132,937.00","78,838.00","19,118.00","138,335.00","160,911.00","148,208.00","88,171.00","21,930.00","153,440.00"
2023-11-14,"130,334.00","72,778.00","62,658.00","14,026.00","121,793.00","145,454.00","80,173.00","69,433.00","15,826.00","135,598.00"
2023-11-15,"132,896.00","115,364.00","65,546.00","16,794.00","130,099.00","147,526.00","127,876.00","73,331.00","18,718.00","144,527.00"
2023-11-16,"142,687.00","132,283.00","74,389.00","17,708.00","133,453.00","159,556.00","146,997.00","83,507.00","19,859.00","150,324.00"
2023-11-17,"146,591.00","136,500.00","78,025.00","20,731.00","140,246.00","163,545.00","151,101.00","87,604.00","22,827.00","157,033.00"
2023-11-18,"127,089.00","114,748.00","66,571.00","18,997.00","120,093.00","139,546.00","124,876.00","72,808.00","20,373.00","131,168.00"
2023-11-19,"141,426.00","131,786.00","75,031.00","20,974.00","134,244.00","157,298.00","145,888.00","84,088.00","23,512.00","148,592.00"
2023-11-20,"132,202.00","113,680.00","67,827.00","17,219.00","126,801.00","147,535.00","127,833.00","75,611.00","19,273.00","141,214.00"
2023-11-21,"119,850.00","102,989.00","25,337.00","13,667.00","118,436.00","132,448.00","114,670.00","28,259.00","15,171.00","132,226.00"
2023-11-22,"131,586.00","113,439.00","61,667.00","16,423.00","127,664.00","145,710.00","125,575.00","68,003.00","18,181.00","141,870.00"
2023-11-23,"133,476.00","119,952.00","68,378.00","15,568.00","125,705.00","149,520.00","132,530.00","76,371.00","17,246.00","140,935.00"
2023-11-24,"141,133.00","130,528.00","72,838.00","19,933.00","132,433.00","157,371.00","145,052.00","81,577.00","21,739.00","147,608.00"
2023-11-25,"130,237.00","118,548.00","68,538.00","20,081.00","128,174.00","142,408.00","128,884.00","75,155.00","21,457.00","140,679.00"
2023-11-26,"146,713.00","138,620.00","82,084.00","20,574.00","139,815.00","163,005.00","153,280.00","91,940.00","22,667.00","155,551.00"
2023-11-27,"137,165.00","125,827.00","75,548.00","17,808.00","144,864.00","152,882.00","139,155.00","84,975.00","19,698.00","160,642.00"
2023-11-28,"124,384.00","103,630.00","61,986.00","14,634.00","118,783.00","138,056.00","114,771.00","68,702.00","16,135.00","132,896.00"
2023-11-29,"125,509.00","113,633.00","66,349.00","17,089.00","127,297.00","139,285.00","125,289.00","73,641.00","18,565.00","141,641.00"
2023-11-30,"141,115.00","127,706.00","72,272.00","17,283.00","137,612.00","157,739.00","143,269.00","80,948.00","18,900.00","153,844.00"
2023-12-01,"149,539.00","130,636.00","78,257.00","22,573.00","143,593.00","166,384.00","145,988.00","87,374.00","24,446.00","159,791.00"
2023-12-02,"123,151.00","113,192.00","64,984.00","23,763.00","122,800.00","134,939.00","125,215.00","71,730.00","25,230.00","134,058.00"
2023-12-03,"140,033.00","129,123.00","78,293.00","22,384.00","140,827.00","155,610.00","143,730.00","87,892.00","24,434.00","156,588.00"
2023-12-04,,"121,012.00","72,620.00","17,441.00","133,302.00",,"134,880.00","81,041.00","19,353.00","148,122.00"
2023-12-05,,"101,695.00","61,383.00","14,337.00","125,845.00",,"113,261.00","68,165.00","15,835.00","139,948.00"
2023-12-06,,"109,760.00","66,047.00","18,975.00","131,887.00",,"122,534.00","73,830.00","20,679.00","146,635.00"
2023-12-07,,"123,253.00","74,408.00","19,423.00","145,070.00",,"138,906.00","82,543.00","21,244.00","161,985.00"
2023-12-08,,"131,187.00","85,157.00","23,589.00","156,661.00",,"149,091.00","94,678.00","25,534.00","174,673.00"
2023-12-09,,"115,639.00","75,343.00","26,733.00","143,942.00",,"128,877.00","82,755.00","28,456.00","157,738.00"
2023-12-10,,"130,288.00","85,717.00","25,612.00","159,187.00",,"146,828.00","95,642.00","27,578.00","175,473.00"
2023-12-11,,"123,057.00","82,113.00","21,288.00","149,725.00",,"138,276.00","91,739.00","23,108.00","165,901.00"
2023-12-12,,"110,467.00","79,401.00","19,317.00","155,395.00",,"124,638.00","87,390.00","20,977.00","171,962.00"
2023-12-13,,"123,697.00","77,399.00","20,987.00","160,896.00",,"139,430.00","86,562.00","23,013.00","178,653.00"
2023-12-14,,"133,004.00","88,825.00","26,570.00","173,958.00",,"150,466.00","98,589.00","28,703.00","193,808.00"
2023-12-15,,"144,575.00","98,229.00","35,261.00","184,599.00",,"164,879.00","109,882.00","38,683.00","205,306.00"
2023-12-16,,"139,345.00","91,861.00","36,711.00","170,595.00",,"157,064.00","102,632.00","39,367.00","189,731.00"
2023-12-17,,"146,482.00","94,641.00","33,051.00","171,129.00",,"164,764.00","105,521.00","35,581.00","190,845.00"
2023-12-18,,"146,810.00","91,709.00","25,086.00","165,942.00",,"165,545.00","102,576.00","27,514.00","185,288.00"
2023-12-19,,"125,990.00","85,835.00","22,663.00","152,965.00",,"140,919.00","95,874.00","25,183.00","169,582.00"
2023-12-20,,"148,650.00","86,085.00","28,340.00","144,294.00",,"166,508.00","96,763.00","31,272.00","157,699.00"
2023-12-21,,"157,635.00","90,975.00","21,460.00","166,139.00",,"177,596.00","101,267.00","23,334.00","186,184.00"
2023-12-22,,"120,940.00","81,077.00","16,939.00","180,519.00",,"132,321.00","91,007.00","17,839.00","202,217.00"
2023-12-23,,"138,839.00","68,722.00","27,237.00","168,841.00",,"154,785.00","75,030.00","28,882.00","188,577.00"
2023-12-24,,"140,926.00","82,392.00","32,097.00","169,761.00",,"155,443.00","91,752.00","34,713.00","190,400.00"
2023-12-25,,"157,235.00","84,551.00","24,882.00","161,211.00",,"178,040.00","95,475.00","27,605.00","180,365.00"
2023-12-26,,"154,821.00","82,042.00","21,348.00","144,203.00",,"174,980.00","92,007.00","23,789.00","160,252.00"
2023-12-27,,"155,743.00","79,179.00","24,043.00","154,945.00",,"174,948.00","88,875.00","26,699.00","172,445.00"
2023-12-28,,"156,923.00","81,032.00","17,141.00","161,841.00",,"178,272.00","90,485.00","18,855.00","181,429.00"
2023-12-29,,"157,831.00","71,467.00","19,852.00","168,476.00",,"178,412.00","80,776.00","21,541.00","187,377.00"
2023-12-30,,"137,373.00","69,622.00","30,913.00","162,485.00",,"154,020.00","77,109.00","33,807.00","180,131.00"
2023-12-31,,"147,357.00","82,278.00","36,788.00","167,771.00",,"165,797.00","91,703.00","40,567.00","188,075.00"
